[2026-04-25T15:36:09.832Z] mode: DRY-RUN (no writes)
[2026-04-25T15:36:10.666Z] stocks total: 414
[2026-04-25T15:36:10.954Z] master rows hit by current tickers: 266
[2026-04-25T15:36:10.956Z] suspect rows: 112
[2026-04-25T15:36:38.998Z] bucket A (remap):     34
[2026-04-25T15:36:38.998Z] bucket B (delete):    55
[2026-04-25T15:36:38.998Z] bucket C (rename):    19
[2026-04-25T15:36:39.000Z] [A_remap]       AIRBUS          name="Airbus" market=US post_stocks=1 (remap-table) → remap to EADSY
[2026-04-25T15:36:39.000Z] [B_delete]      GPT-4           name="GPT-4" market=CRYPTO post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      MODEL Y         name="Model Y" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      MODEL 3         name="Model 3" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      MODEL X         name="Model X" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [A_remap]       SERVICENOW      name="ServiceNow" market=US post_stocks=1 (remap-table) → remap to NOW
[2026-04-25T15:36:39.000Z] [A_remap]       ORACLE          name="Oracle" market=US post_stocks=1 (remap-table) → remap to ORCL
[2026-04-25T15:36:39.000Z] [A_remap]       SALESFORCE      name="Salesforce" market=US post_stocks=1 (remap-table) → remap to CRM
[2026-04-25T15:36:39.000Z] [A_remap]       FLARE           name="Cloudflare" market=US post_stocks=1 (remap-table) → remap to NET
[2026-04-25T15:36:39.000Z] [B_delete]      ASTERRA LABS    name="ASTERRA LABS" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      DYNA            name="順達" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [A_remap]       SEAGATE         name="Seagate Technology Holdings plc" market=US post_stocks=1 (remap-table) → remap to STX
[2026-04-25T15:36:39.000Z] [B_delete]      366 E           name="366E" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      CRYSTAL         name="Crystal" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [A_remap]       STELLANTIS      name="Stellantis" market=US post_stocks=1 (remap-table) → remap to STLA
[2026-04-25T15:36:39.000Z] [A_remap]       AMAZON          name="Amazon" market=US post_stocks=1 (remap-table) → remap to AMZN
[2026-04-25T15:36:39.000Z] [B_delete]      2542            name="元大台灣50" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [A_remap]       3596            name="智易" market=TW post_stocks=1 (remap-table) → remap to 3596.TW
[2026-04-25T15:36:39.000Z] [B_delete]      CNMRBL          name="CNM Resources Limited" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [C_rename]      NVTS            name="NVTS" market=US post_stocks=1 (master-name-disagrees) → rename "NVTS" → "Navitas Semiconductor Corporation"
[2026-04-25T15:36:39.000Z] [B_delete]      PLANTLY         name="Plantly" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [A_remap]       IMPINJ          name="Impinj" market=US post_stocks=1 (remap-table) → remap to PI
[2026-04-25T15:36:39.000Z] [B_delete]      UNIQLO          name="Uniqlo" market=US post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9970.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9972.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9977.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9995.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9971.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9975.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9978.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9973.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9974.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9976.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] [B_delete]      9979.TW         name="寶" market=TW post_stocks=1 (blacklisted)
[2026-04-25T15:36:39.000Z] DRY-RUN complete. Re-run with --apply to perform DB writes.
[2026-04-25T15:36:39.002Z] log written to scripts\cleanup-fabricated-stocks.log
